min_tf,max_tf,min_df,max_df,multi_category_words,adjusted Rand Index
297,5,100,2,0.6,False,0.08825253168225348
298,10,100,2,0.6,False,0.1515756267416226
299,15,100,2,0.6,False,0.10319497388596995
300,20,100,2,0.6,False,0.12018668677322866
301,30,100,2,0.6,False,0.1403116887543763
302,40,100,2,0.6,False,0.13627940457889845
303,50,100,2,0.6,False,0.098270274573735
304,1,100,5,0.6,False,0.11516526206500999
305,5,100,5,0.6,False,0.12825154173244202
306,10,100,5,0.6,False,0.05856614836300401
307,15,100,5,0.6,False,0.11233088136933674
308,20,100,5,0.6,False,0.13743652067816842
309,30,100,5,0.6,False,0.09401597561964542
310,40,100,5,0.6,False,0.10050900745670005
311,50,100,5,0.6,False,0.12110680480505706
312,1,100,10,0.6,False,0.09517961964494244
313,5,100,10,0.6,False,0.10287163099908266
314,10,100,10,0.6,False,0.12170911540126177
315,15,100,10,0.6,False,0.11887646239614356
316,20,100,10,0.6,False,0.11374164174588185
317,30,100,10,0.6,False,0.11731577099292112
318,40,100,10,0.6,False,0.09912454391223079
319,50,100,10,0.6,False,0.1303693476810034
320,1,100,20,0.6,False,0.09298216559228009
321,5,100,20,0.6,False,0.08180953093800279
322,10,100,20,0.6,False,0.09833389505222347
323,15,100,20,0.6,False,0.12949761060574952
324,20,100,20,0.6,False,0.15145260163673424
325,30,100,20,0.6,False,0.12664890694647415
326,40,100,20,0.6,False,0.08721126538464413
327,50,100,20,0.6,False,0.11150203852150672
328,1,100,50,0.6,False,0.02698609069143085
329,5,100,50,0.6,False,0.029070851581349436
330,10,100,50,0.6,False,0.027433178446669104
331,15,100,50,0.6,False,0.034688928156432285
332,20,100,50,0.6,False,0.036494636233990664
333,30,100,50,0.6,False,0.029928997583677813
334,40,100,50,0.6,False,0.03849415510773764
335,50,100,50,0.6,False,0.03325438849947766
336,1,100,1,0.6,True,0.0518272106003687
337,5,100,1,0.6,True,0.07850766092758532
338,10,100,1,0.6,True,0.19287363515012423
339,15,100,1,0.6,True,0.12030216561463762
340,20,100,1,0.6,True,0.10587824248191728
341,30,100,1,0.6,True,0.1417694709412065
342,40,100,1,0.6,True,0.10238601503016632
343,50,100,1,0.6,True,0.14614774753712031
